,Category,Example0,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20,Example21,Example22,Example23,Example24,Example25,Example26,Example27,Example28,Example29,Example30,Example31,Example32,Example33,Example34,Example35,Example36,Example37,Example38,Example39,Example40,Example41,Example42,Example43,Example44,Example45,Example46,Example47,Example48,Example49,Example50,Example51,Example52,Example53,Example54,Example55,Example56,Example57,Example58,Example59,Example60,Example61,Example62,Example63,Example64,Example65,Example66,Example67,Example68,Example69,Example70,Example71,Example72,Example73,Example74,Example75,Example76,Example77,Example78,Example79,Example80,Example81,Example82,Example83,Example84,Example85,Example86,Example87,Example88,Example89,Example90,Example91,Example92,Example93,Example94,Example95,Example96,Example97,Example98,Example99
0,function,17,10,10,19,36,14,33,27,9,141,33,64,68,12,32,18,69,13,16,17,35,9,45,43,14,53,23,126,52,28,75,17,62,10,58,89,28,70,72,56,37,63,52,56,24,4,7,40,38,72,28,121,16,14,19,218,39,50,31,6,15,21,16,28,23,86,9,0,8,30,19,24,10,20,31,68,5,71,10,15,52,8,9,38,32,11,11,27,22,26,10,15,37,7,23,34,24,33,5,38
1,pronoun,7,4,3,5,13,2,8,8,2,53,10,28,23,3,5,5,30,3,5,2,15,2,10,19,4,14,3,38,15,5,28,6,13,2,11,36,10,18,18,15,9,18,15,14,9,2,3,10,10,23,6,31,6,4,6,68,9,13,8,2,5,4,9,12,10,15,4,0,2,9,4,9,3,5,11,25,2,11,1,2,9,4,3,15,6,3,2,5,3,12,4,2,14,3,7,13,6,18,0,13
2,ppron,2,2,2,4,6,0,3,6,1,34,2,22,15,2,1,2,21,1,2,0,9,1,3,12,2,7,1,29,10,2,14,3,8,1,3,23,7,15,8,7,6,14,10,9,3,1,2,4,8,5,2,17,3,2,2,43,3,8,3,1,2,3,6,8,7,9,0,0,0,6,2,5,2,3,7,14,2,3,0,2,3,2,1,8,3,0,1,3,0,7,3,1,9,1,3,4,5,10,0,8
3,i,0,0,2,0,1,0,0,3,0,14,1,3,9,1,1,1,5,0,1,0,1,1,1,7,2,6,0,7,10,2,7,3,7,1,1,15,0,2,5,2,1,6,4,1,1,0,0,1,2,1,2,7,0,2,1,25,2,3,3,1,1,0,1,5,5,1,0,0,0,6,0,0,0,1,6,1,1,2,0,1,3,0,1,1,2,0,1,0,0,2,3,1,4,1,3,3,1,4,0,2
4,we,2,0,0,0,0,0,1,0,0,0,0,3,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,1,1,2,1,2,4,6,2,0,0,1,0,1,4,1,0,5,1,0,1,4,0,1,0,0,0,1,4,0,0,1,0,0,0,0,2,0,0,2,0,10,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,3
5,you,0,2,0,0,4,0,2,0,0,12,0,1,0,0,0,0,12,1,0,0,8,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2,3,0,1,3,0,0,0,2,2,1,2,0,0,1,0,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,shehe,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,they,0,0,0,4,1,0,0,3,1,8,1,0,0,0,0,1,2,0,1,0,0,0,1,2,0,1,1,2,0,0,6,0,1,0,2,7,6,11,0,0,1,1,1,8,2,0,0,0,1,1,0,5,1,0,0,3,1,3,0,0,0,2,1,0,2,6,0,0,0,0,0,2,2,0,1,3,1,0,0,0,0,0,0,4,1,0,0,0,0,4,0,0,4,0,0,0,4,4,0,3
8,ipron,5,2,1,1,7,2,5,2,1,19,8,6,8,1,4,3,9,2,3,2,6,1,7,7,2,7,2,9,5,3,14,3,5,1,8,13,3,3,10,8,3,4,5,5,6,1,1,6,2,18,4,13,3,2,4,25,6,5,5,1,3,1,3,4,3,6,4,0,2,3,2,4,1,2,4,11,0,8,1,0,6,2,2,7,3,3,1,2,3,5,1,1,5,2,4,9,1,8,0,5
9,article,1,1,2,3,4,2,5,1,0,21,7,5,6,2,8,4,10,0,6,3,2,1,6,4,1,7,6,8,4,4,6,2,9,3,15,4,2,5,9,5,3,7,3,8,4,0,0,4,6,6,7,12,4,1,2,25,8,6,3,0,2,1,0,2,2,14,0,0,1,2,1,1,1,3,1,3,0,10,5,1,12,0,0,2,5,1,2,4,3,3,1,4,5,1,2,4,2,1,0,1
10,prep,2,1,4,6,4,4,8,12,3,23,10,17,13,3,8,6,14,3,4,2,8,2,15,7,2,10,6,29,12,8,21,4,22,2,19,23,9,13,20,12,8,14,14,15,9,2,1,10,11,19,9,32,3,3,5,55,7,13,6,2,2,7,4,2,8,17,1,0,3,6,6,2,3,4,7,18,2,22,3,5,21,0,2,11,10,4,6,11,9,6,2,3,10,0,4,5,8,5,2,13
11,auxverb,4,2,0,2,8,4,7,3,2,19,3,6,13,2,5,3,6,5,0,2,5,2,6,6,3,10,3,26,12,7,10,4,7,1,6,6,5,17,9,11,7,8,8,8,1,0,0,7,5,15,3,21,2,4,2,31,9,9,6,1,3,3,3,6,3,18,2,0,1,6,2,6,2,4,4,10,1,14,1,3,4,2,2,6,5,1,1,2,1,2,2,4,5,2,6,7,3,1,0,2
12,adverb,3,1,0,1,4,1,5,2,1,17,2,5,11,0,3,0,6,2,0,2,5,0,4,4,3,8,3,12,4,1,6,1,5,1,6,11,2,5,11,4,7,8,4,5,0,0,2,6,4,7,2,16,1,1,2,20,3,4,4,1,2,3,0,2,0,12,1,0,0,3,3,2,1,3,2,8,0,4,0,2,4,1,0,3,3,1,0,5,3,2,0,1,0,1,4,3,5,2,2,1
13,conj,1,2,1,2,4,1,0,2,2,17,2,7,8,3,4,1,5,2,1,4,2,1,6,6,1,7,2,14,5,2,8,1,9,1,4,14,1,14,11,7,6,10,10,8,2,0,1,5,4,7,4,17,0,2,2,29,4,9,6,1,1,5,0,4,0,13,1,0,0,3,6,4,0,0,6,11,0,11,0,4,2,2,2,4,4,1,0,3,5,2,1,1,4,1,1,5,3,6,2,5
