,Category,Example0,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20,Example21,Example22,Example23,Example24,Example25,Example26,Example27,Example28,Example29,Example30,Example31,Example32,Example33,Example34,Example35,Example36,Example37,Example38,Example39,Example40,Example41,Example42,Example43,Example44,Example45,Example46,Example47,Example48,Example49,Example50,Example51,Example52,Example53,Example54,Example55,Example56,Example57,Example58,Example59,Example60,Example61,Example62,Example63,Example64,Example65,Example66,Example67,Example68,Example69,Example70,Example71,Example72,Example73,Example74,Example75,Example76,Example77,Example78,Example79,Example80,Example81,Example82,Example83,Example84,Example85,Example86,Example87,Example88,Example89,Example90,Example91,Example92,Example93,Example94,Example95,Example96,Example97,Example98,Example99
0,function,0.7083,0.5556,0.3571,0.4524,0.5714,0.5833,0.6346,0.587,0.4737,0.5165,0.5077,0.5714,0.6126,0.3636,0.4571,0.5455,0.5188,0.5652,0.4211,0.5152,0.4861,0.5294,0.6,0.5119,0.4667,0.5521,0.5476,0.6207,0.619,0.4516,0.5102,0.5312,0.4218,0.4348,0.5043,0.5669,0.549,0.5738,0.5106,0.6022,0.5522,0.6495,0.642,0.4242,0.5217,0.5,0.5833,0.5634,0.4872,0.4932,0.5385,0.5654,0.5714,0.4242,0.5429,0.5829,0.4382,0.4808,0.5962,0.5,0.625,0.4773,0.6154,0.56,0.4792,0.4751,0.5625,0.0,0.5333,0.4918,0.5,0.6,0.5,0.6452,0.4306,0.5484,0.4167,0.4251,0.5,0.4167,0.5306,0.6667,0.5,0.4578,0.5161,0.3667,0.44,0.5192,0.2973,0.5532,0.3333,0.5,0.5362,0.875,0.6216,0.6296,0.5217,0.5893,0.4167,0.5758
1,pronoun,0.2917,0.2222,0.1071,0.119,0.2063,0.0833,0.1538,0.1739,0.1053,0.1941,0.1538,0.25,0.2072,0.0909,0.0714,0.1515,0.2256,0.1304,0.1316,0.0606,0.2083,0.1176,0.1333,0.2262,0.1333,0.1458,0.0714,0.1872,0.1786,0.0806,0.1905,0.1875,0.0884,0.087,0.0957,0.2293,0.1961,0.1475,0.1277,0.1613,0.1343,0.1856,0.1852,0.1061,0.1957,0.25,0.25,0.1408,0.1282,0.1575,0.1154,0.1449,0.2143,0.1212,0.1714,0.1818,0.1011,0.125,0.1538,0.1667,0.2083,0.0909,0.3462,0.24,0.2083,0.0829,0.25,0.0,0.1333,0.1475,0.1053,0.225,0.15,0.1613,0.1528,0.2016,0.1667,0.0659,0.05,0.0556,0.0918,0.3333,0.1667,0.1807,0.0968,0.1,0.08,0.0962,0.0405,0.2553,0.1333,0.0667,0.2029,0.375,0.1892,0.2407,0.1304,0.3214,0.0,0.197
2,ppron,0.0833,0.1111,0.0714,0.0952,0.0952,0.0,0.0577,0.1304,0.0526,0.1245,0.0308,0.1964,0.1351,0.0606,0.0143,0.0606,0.1579,0.0435,0.0526,0.0,0.125,0.0588,0.04,0.1429,0.0667,0.0729,0.0238,0.1429,0.119,0.0323,0.0952,0.0938,0.0544,0.0435,0.0261,0.1465,0.1373,0.123,0.0567,0.0753,0.0896,0.1443,0.1235,0.0682,0.0652,0.125,0.1667,0.0563,0.1026,0.0342,0.0385,0.0794,0.1071,0.0606,0.0571,0.115,0.0337,0.0769,0.0577,0.0833,0.0833,0.0682,0.2308,0.16,0.1458,0.0497,0.0,0.0,0.0,0.0984,0.0526,0.125,0.1,0.0968,0.0972,0.1129,0.1667,0.018,0.0,0.0556,0.0306,0.1667,0.0556,0.0964,0.0484,0.0,0.04,0.0577,0.0,0.1489,0.1,0.0333,0.1304,0.125,0.0811,0.0741,0.1087,0.1786,0.0,0.1212
3,i,0.0,0.0,0.0714,0.0,0.0159,0.0,0.0,0.0652,0.0,0.0513,0.0154,0.0268,0.0811,0.0303,0.0143,0.0303,0.0376,0.0,0.0263,0.0,0.0139,0.0588,0.0133,0.0833,0.0667,0.0625,0.0,0.0345,0.119,0.0323,0.0476,0.0938,0.0476,0.0435,0.0087,0.0955,0.0,0.0164,0.0355,0.0215,0.0149,0.0619,0.0494,0.0076,0.0217,0.0,0.0,0.0141,0.0256,0.0068,0.0385,0.0327,0.0,0.0606,0.0286,0.0668,0.0225,0.0288,0.0577,0.0833,0.0417,0.0,0.0385,0.1,0.1042,0.0055,0.0,0.0,0.0,0.0984,0.0,0.0,0.0,0.0323,0.0833,0.0081,0.0833,0.012,0.0,0.0278,0.0306,0.0,0.0556,0.012,0.0323,0.0,0.04,0.0,0.0,0.0426,0.1,0.0333,0.058,0.125,0.0811,0.0556,0.0217,0.0714,0.0,0.0303
4,we,0.0833,0.0,0.0,0.0,0.0,0.0,0.0192,0.0,0.0,0.0,0.0,0.0268,0.009,0.0303,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0133,0.0,0.0,0.0,0.0,0.0246,0.0,0.0,0.0068,0.0,0.0,0.0,0.0,0.0064,0.0196,0.0164,0.0071,0.0215,0.0597,0.0619,0.0247,0.0,0.0,0.125,0.0,0.0141,0.0513,0.0068,0.0,0.0234,0.0357,0.0,0.0286,0.0107,0.0,0.0096,0.0,0.0,0.0,0.0227,0.1538,0.0,0.0,0.0055,0.0,0.0,0.0,0.0,0.0526,0.0,0.0,0.0645,0.0,0.0806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0361,0.0,0.0,0.0,0.0577,0.0,0.0,0.0,0.0,0.0145,0.0,0.0,0.0,0.0,0.0357,0.0,0.0455
5,you,0.0,0.1111,0.0,0.0,0.0635,0.0,0.0385,0.0,0.0,0.044,0.0,0.0089,0.0,0.0,0.0,0.0,0.0902,0.0435,0.0,0.0,0.1111,0.0,0.0,0.0357,0.0,0.0,0.0,0.0739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0142,0.0323,0.0,0.0103,0.037,0.0,0.0,0.0,0.1667,0.0282,0.0128,0.0137,0.0,0.0,0.0357,0.0,0.0,0.008,0.0,0.0096,0.0,0.0,0.0417,0.0,0.0,0.0,0.0,0.0055,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,shehe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1339,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0185,0.0,0.0,0.0,0.0
7,they,0.0,0.0,0.0,0.0952,0.0159,0.0,0.0,0.0652,0.0526,0.0293,0.0154,0.0,0.0,0.0,0.0,0.0303,0.015,0.0,0.0263,0.0,0.0,0.0,0.0133,0.0238,0.0,0.0104,0.0238,0.0099,0.0,0.0,0.0408,0.0,0.0068,0.0,0.0174,0.0446,0.1176,0.0902,0.0,0.0,0.0149,0.0103,0.0123,0.0606,0.0435,0.0,0.0,0.0,0.0128,0.0068,0.0,0.0234,0.0357,0.0,0.0,0.008,0.0112,0.0288,0.0,0.0,0.0,0.0455,0.0385,0.0,0.0417,0.0331,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.0139,0.0242,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0482,0.0161,0.0,0.0,0.0,0.0,0.0851,0.0,0.0,0.058,0.0,0.0,0.0,0.087,0.0714,0.0,0.0455
8,ipron,0.2083,0.1111,0.0357,0.0238,0.1111,0.0833,0.0962,0.0435,0.0526,0.0696,0.1231,0.0536,0.0721,0.0303,0.0571,0.0909,0.0677,0.087,0.0789,0.0606,0.0833,0.0588,0.0933,0.0833,0.0667,0.0729,0.0476,0.0443,0.0595,0.0484,0.0952,0.0938,0.034,0.0435,0.0696,0.0828,0.0588,0.0246,0.0709,0.086,0.0448,0.0412,0.0617,0.0379,0.1304,0.125,0.0833,0.0845,0.0256,0.1233,0.0769,0.0607,0.1071,0.0606,0.1143,0.0668,0.0674,0.0481,0.0962,0.0833,0.125,0.0227,0.1154,0.08,0.0625,0.0331,0.25,0.0,0.1333,0.0492,0.0526,0.1,0.05,0.0645,0.0556,0.0887,0.0,0.0479,0.05,0.0,0.0612,0.1667,0.1111,0.0843,0.0484,0.1,0.04,0.0385,0.0405,0.1064,0.0333,0.0333,0.0725,0.25,0.1081,0.1667,0.0217,0.1429,0.0,0.0758
9,article,0.0417,0.0556,0.0714,0.0714,0.0635,0.0833,0.0962,0.0217,0.0,0.0769,0.1077,0.0446,0.0541,0.0606,0.1143,0.1212,0.0752,0.0,0.1579,0.0909,0.0278,0.0588,0.08,0.0476,0.0333,0.0729,0.1429,0.0394,0.0476,0.0645,0.0408,0.0625,0.0612,0.1304,0.1304,0.0255,0.0392,0.041,0.0638,0.0538,0.0448,0.0722,0.037,0.0606,0.087,0.0,0.0,0.0563,0.0769,0.0411,0.1346,0.0561,0.1429,0.0303,0.0571,0.0668,0.0899,0.0577,0.0577,0.0,0.0833,0.0227,0.0,0.04,0.0417,0.0773,0.0,0.0,0.0667,0.0328,0.0263,0.025,0.05,0.0968,0.0139,0.0242,0.0,0.0599,0.25,0.0278,0.1224,0.0,0.0,0.0241,0.0806,0.0333,0.08,0.0769,0.0405,0.0638,0.0333,0.1333,0.0725,0.125,0.0541,0.0741,0.0435,0.0179,0.0,0.0152
